nombre,tipo,eslora,manga,calado,año,origen,bandera,imo,puertoDestino,urlPuertoDestino,puertoOrigen,urlPuertoOrigen,ETA,ETAPredecido,distancia,tiempo,rumbo,velocidad,caladoActual,estadoNavegacion,ultimaPosicionRecibida,MMSI,signal,GT,DWT,TEU,crudo,grano,fardo,puerto01_nombre,puerto01_llegada,puerto01_salida,puerto01_tiempo,puerto02_nombre,puerto02_llegada,puerto02_salida,puerto02_tiempo,puerto03_nombre,puerto03_llegada,puerto03_salida,puerto03_tiempo,puerto04_nombre,puerto04_llegada,puerto04_salida,puerto04_tiempo,puerto05_nombre,puerto05_llegada,puerto05_salida,puerto05_tiempo
CMA CGM JACQUES SAADE,Container Ship,400,61,,2020,,France,9839179,,,,,,-,,,306.4°,0.0 kn,14.6 m,Moored,"Apr 22, 2023 23:13 UTC",228386700,FLZE,236583,221251,,-,-,-,"Port Klang, Malaysia","Apr 20, 07:12",-,-,"Port Klang Anch., Malaysia","Apr 20, 00:15","Apr 20, 06:59",6h 44m,"Algeciras, Spain","Mar 30, 15:34","Apr 1, 07:11",1d 15h,"Rotterdam Anch. 3 North, Netherlands","Mar 24, 12:40","Mar 25, 14:05",1d 1h,"Rotterdam Maasvlakte, Netherlands","Mar 21, 16:40","Mar 24, 07:55",2d 15h
CMA CGM SORBONNE,Container Ship,400,61,,2021,,France,9839210,,,,,,-,,,163.8°,1.9 kn,12.8 m,Under way,"Apr 22, 2023 22:30 UTC",228038360,FMPF,236583,221251,,-,-,-,"Rotterdam Maasvlakte, Netherlands","Apr 16, 19:33","Apr 18, 19:03",1d 23h,"Rotterdam Anch. 5, Netherlands","Apr 14, 17:46","Apr 16, 17:28",1d 23h,"Wilhelmshaven, Germany","Apr 12, 22:45","Apr 13, 21:42",22h 57m,"Hamburg, Germany","Apr 7, 16:55","Apr 12, 06:43",4d 13h,"Le Havre, France","Apr 3, 08:31","Apr 6, 03:42",2d 19h
CMA CGM LOUVRE,Container Ship,400,61,,2020,,France,9839143,,,,,,-,,,305.7°,0.0 kn,11.2 m,Moored,"Apr 22, 2023 23:18 UTC",228394900,FMMY,236583,220868,,-,-,-,"Hamburg, Germany","Apr 21, 15:48",-,-,"Le Havre, France","Apr 17, 03:05","Apr 20, 05:07",3d 2h,"Dunkerque, France","Apr 14, 02:37","Apr 16, 16:49",2d 14h,"Algeciras, Spain","Apr 9, 05:08","Apr 10, 01:07",19h 58m,"As Suways (Suez) Anch., Egypt","Apr 2, 16:05","Apr 3, 05:48",13h 42m
CMA CGM PALAIS ROYAL,Container Ship,400,61,,2020,,France,9839181,,,,,,,,,195.8°,15.6 kn,15.2 m,-,"Apr 21, 2023 11:17 UTC",228394600,FMMT,236583,221294,,-,-,-,"Yantian, China","Apr 19, 20:04","Apr 20, 23:25",1d 3h,"Hongqiao, China","Apr 14, 01:50","Apr 16, 01:45",1d 23h,"Ningbo, China","Apr 11, 06:50","Apr 13, 05:35",1d 22h,"Ningbo Anch., China","Apr 10, 02:02","Apr 11, 04:15",1d 2h,"Busan New Port, Korea","Apr 6, 02:34","Apr 8, 04:43",2d 2h
CMA CGM CHAMPS ELYSEES,Container Ship,400,61,,2020,,France,9839131,,,,,,-,,,255.3°,0.0 kn,12.8 m,Moored,"Apr 22, 2023 23:19 UTC",228386800,FLZF,236583,220766,,-,-,-,"Rotterdam Maasvlakte, Netherlands","Apr 21, 15:31",-,-,"Wilhelmshaven, Germany","Apr 19, 19:02","Apr 20, 09:43",14h 40m,"Hamburg, Germany","Apr 17, 01:03","Apr 19, 10:06",2d 9h,"Le Havre, France","Apr 10, 21:48","Apr 15, 06:08",4d 8h,"Dunkerque, France","Apr 6, 14:10","Apr 9, 12:58",2d 22h
EVER ALOT,Container Ship,399,61,-,2022,-,Panama,9893955,,,,,,,,,105°,14.7 kn,15.5 m,-,"Apr 21, 2023 01:40 UTC",352001259,3E4008,236228,224982,-,-,-,-,"Port Said Anch., Egypt","Apr 10, 14:04","Apr 11, 02:15",12h 10m,"Rotterdam Maasvlakte, Netherlands","Mar 29, 06:59","Apr 1, 03:06",2d 20h,"Hamburg, Germany","Mar 24, 18:50","Mar 28, 11:18",3d 16h,"Felixstowe, United Kingdom (UK)","Mar 21, 17:25","Mar 23, 19:40",2d 2h,"Rotterdam Maasvlakte, Netherlands","Mar 18, 00:57","Mar 21, 07:40",3d 6h
EVER ARIA,Container Ship,399,61,-,2022,-,Panama,9909132,,,,,,-,,,280°,0.0 kn,11.1 m,-,"Apr 22, 2023 03:56 UTC",352001747,3E2585,236228,241000,-,-,-,-,"Qingdao, China","Apr 19, 10:29","Apr 20, 14:52",1d 4h,"Qingdao, China","Apr 7, 07:57","Apr 16, 03:42",8d 19h,"Qingdao, China","Apr 1, 15:42","Apr 2, 17:19",1d 1h,"Kaohsiung, Taiwan","Mar 26, 14:32","Mar 27, 09:57",19h 25m,"Tanjung Pelepas, Malaysia","Mar 20, 00:42","Mar 21, 08:27",1d 7h
EVER APEX,Container Ship,399,62,-,2022,-,Singapore,9893979,,,,,,-,,,237.9°,0.0 kn,16.5 m,Moored,"Apr 22, 2023 23:21 UTC",563155500,9V7623,236228,241816,-,-,-,-,"Rotterdam Maasvlakte, Netherlands","Apr 21, 19:43",-,-,"As Suways (Suez) Anch., Egypt","Apr 13, 18:02","Apr 14, 03:58",9h 56m,"Singapore, Singapore","Apr 1, 08:14","Apr 2, 13:05",1d 4h,"Yantian, China","Mar 27, 08:57","Mar 28, 15:10",1d 6h,"Hongqiao, China","Mar 27, 02:33","Mar 27, 05:00",2h 27m
EVER ATOP,Container Ship,399,62,-,2022,-,Singapore,9893993,,,,,,-,,,113°,14.5 kn,13.6 m,-,"Apr 21, 2023 22:29 UTC",563166100,9V7624,236228,241000,-,-,-,-,"Port Said Anch., Egypt","Apr 17, 06:43","Apr 18, 02:54",20h 10m,"Rotterdam Maasvlakte, Netherlands","Apr 3, 04:22","Apr 6, 01:10",2d 20h,"Hamburg, Germany","Mar 30, 20:26","Apr 2, 05:20",2d 8h,"Felixstowe, United Kingdom (UK)","Mar 27, 21:11","Mar 29, 19:35",1d 22h,"Rotterdam Maasvlakte, Netherlands","Mar 24, 13:52","Mar 27, 09:57",2d 20h
MSC RAYA,Container Ship,399,61,-,2023,-,Liberia,9930052,,,,,,,,,175.5°,17.6 kn,15.5 m,-,"Apr 19, 2023 17:13 UTC",636022103,5LHE9,236078,233000,-,-,-,-,"Yantian, China","Apr 18, 09:00","Apr 19, 14:37",1d 5h,"Hongqiao, China","Apr 15, 01:48","Apr 16, 03:03",1d 1h,"Ningbo, China","Apr 12, 21:54","Apr 14, 07:54",1d 9h,"Ningbo Anch., China","Apr 7, 22:18","Apr 9, 17:31",1d 19h,"Yangshan Port, China","Mar 2, 03:52","Apr 4, 22:46",33d 18h
MSC TESSA,Container Ship,400,62,-,2023,-,Liberia,9930038,,,,,,-,,,32°,0.0 kn,13.5 m,Moored,"Apr 22, 2023 23:22 UTC",636022102,5LHE8,236078,233000,-,-,-,-,"Antwerpen, Belgium","Apr 21, 00:32",-,-,"Rotterdam Maasvlakte, Netherlands","Apr 19, 03:28","Apr 20, 13:45",1d 10h,"Sines, Portugal","Apr 14, 08:05","Apr 16, 08:02",1d 23h,"As Suways (Suez) Anch., Egypt","Apr 7, 18:46","Apr 8, 03:32",8h 46m,"Singapore Anch. 4, Singapore","Mar 27, 09:12","Mar 27, 22:44",13h 31m
WONDER OF THE SEAS,Passenger (Cruise) Ship,362,66,-,2022,-,Bahamas,9838345,,,,,,,,,305.2°,19.3 kn,9.3 m,Under way,"Apr 22, 2023 21:47 UTC",311001033,C6EY2,235600,17100,-,-,-,-,"Falmouth, Jamaica","Apr 20, 15:16","Apr 20, 20:23",5h 6m,"Nassau, Bahamas","Apr 18, 13:55","Apr 18, 19:36",5h 41m,"Little Stirrup Cay, Bahamas","Apr 17, 11:55","Apr 17, 20:33",8h 37m,"Cape Canaveral, United States (USA)","Apr 16, 08:56","Apr 16, 20:46",11h 50m,"Little Stirrup Cay, Bahamas","Apr 15, 12:09","Apr 15, 20:59",8h 49m
EVER ACT,Container Ship,400,62,-,2021,-,Panama,9893905,,,,,,-,,,248.6°,0.0 kn,11.2 m,Moored,"Apr 22, 2023 23:22 UTC",352978199,3E2429,235579,241960,,-,-,-,"Rotterdam Maasvlakte, Netherlands","Apr 21, 18:32",-,-,"Hamburg, Germany","Apr 18, 15:01","Apr 20, 19:02",2d 4h,"Felixstowe, United Kingdom (UK)","Apr 14, 18:22","Apr 17, 10:29",2d 16h,"Sunk Deep Water Anch., United Kingdom (UK)","Apr 13, 11:53","Apr 14, 14:35",1d 2h,"Rotterdam Maasvlakte, Netherlands","Apr 10, 02:15","Apr 13, 03:19",3d 1h
EVER AIM,Container Ship,400,62,-,2021,-,Panama,9893917,,,,,,,,,180.2°,15.5 kn,16.0 m,-,"Apr 19, 2023 21:02 UTC",352980788,3E3532,235579,241960,,-,-,-,"Yantian, China","Apr 17, 23:58","Apr 19, 18:12",1d 18h,"Taipei, Taiwan","Apr 15, 20:23","Apr 16, 21:57",1d 1h,"Ningbo, China","Apr 13, 09:00","Apr 14, 18:27",1d 9h,"Ningbo Anch., China","Apr 12, 03:20","Apr 13, 06:55",1d 3h,"Hongqiao, China","Apr 10, 07:45","Apr 11, 20:31",1d 12h
EVER ART,Container Ship,400,62,-,2022,-,Taiwan,9893943,,,,,,,,,3.5°,14.0 kn,10.8 m,Under way,"Apr 22, 2023 23:22 UTC",416071000,BHJH,235579,241960,-,-,-,-,"Kaohsiung, Taiwan","Apr 21, 04:26","Apr 22, 16:51",1d 12h,"Tanjung Pelepas, Malaysia","Apr 16, 05:01","Apr 17, 00:37",19h 35m,"Colombo, Sri Lanka","Apr 6, 13:23","Apr 7, 00:33",11h 10m,"Colombo Anch., Sri Lanka","Apr 5, 06:11","Apr 6, 13:17",1d 7h,"Port Said Anch., Egypt","Mar 21, 15:42","Mar 22, 02:20",10h 38m
EVER ALP,Container Ship,400,62,-,2021,-,Panama,9893929,,,,,,-,,,51.4°,0.5 kn,13.5 m,-,"Apr 17, 2023 20:30 UTC",352898717,3E2012,235579,241960,,-,-,-,"Colombo Anch., Sri Lanka","Apr 6, 19:43","Apr 10, 10:57",3d 15h,"Port Said Anch., Egypt","Mar 26, 05:52","Mar 28, 01:59",1d 20h,"Rotterdam Maasvlakte, Netherlands","Mar 13, 19:54","Mar 16, 00:51",2d 4h,"Hamburg, Germany","Mar 10, 05:49","Mar 12, 10:10",2d 4h,"Felixstowe, United Kingdom (UK)","Mar 7, 06:16","Mar 9, 05:45",1d 23h
EVER ACE,Container Ship,400,62,-,2021,-,Panama,9893890,,,,,,,,,310.7°,17.6 kn,16.5 m,-,"Apr 16, 2023 02:38 UTC",352986146,3E2382,235579,241960,,-,-,-,"Singapore, Singapore","Apr 14, 13:55","Apr 15, 11:11",21h 16m,"Yantian, China","Apr 9, 10:30","Apr 11, 00:16",1d 13h,"Taipei, Taiwan","Apr 7, 02:00","Apr 8, 01:23",23h 23m,"Ningbo, China","Apr 4, 23:26","Apr 6, 05:15",1d 5h,"Ningbo Anch., China","Apr 3, 18:01","Apr 4, 21:29",1d 3h
EVER ARM,Container Ship,400,62,-,2022,-,Taiwan,9893931,,,,,,-,,,190.8°,0.0 kn,11.6 m,Moored,"Apr 22, 2023 23:21 UTC",416070000,BHJG,235579,241960,,-,-,-,"Kaohsiung, Taiwan","Apr 17, 23:17",-,-,"Kaohsiung Anch., Taiwan","Apr 17, 07:55","Apr 17, 22:31",14h 36m,"Yantian, China","Apr 15, 02:42","Apr 16, 04:22",1d 1h,"Tanjung Pelepas, Malaysia","Apr 9, 21:40","Apr 11, 00:49",1d 3h,"Colombo, Sri Lanka","Apr 4, 12:59","Apr 5, 05:26",16h 27m
OCEANIA,FSO,380,68,,2003,,Belgium,9246633,,,,,,-,,,148°,0.0 kn,15.8 m,At anchor,"Apr 22, 2023 23:12 UTC",205753000,ONJP,234006,441585,-,,-,-,,,,,,,,,,,,,,,,,,,,
SA EUROPE,Crude Oil Tanker,380,68,,2002,,Liberia,9235268,,,,,,-,,,41°,0.0 kn,23.5 m,At anchor,"Apr 22, 2023 23:16 UTC",636022398,5LIP2,234006,441561,-,,-,-,,,,,,,,,,,,,,,,,,,,
MSC SAMAR,Container Ship,400,62,,2019,,Panama,9839442,,,,,,,,,86.2°,16.8 kn,14.4 m,Under way,"Apr 22, 2023 22:46 UTC",371047000,3FKE9,232618,228149,,-,-,-,"Kulayyah, Saudi Arabia","Apr 20, 02:35","Apr 21, 03:32",1d,"Port Said East, Egypt","Apr 17, 06:25","Apr 18, 04:28",22h 3m,"Port Said Anch., Egypt","Apr 16, 09:12","Apr 17, 05:08",19h 56m,"Barcelona, Spain","Apr 14, 08:55","Apr 14, 10:25",1h 30m,"Gioia Tauro, Italy","Apr 11, 07:58","Apr 12, 13:08",1d 5h
MSC FEBE,Container Ship,400,62,,2019,,Panama,9839478,,,,,,,,,96.6°,15.7 kn,12.2 m,Under way,"Apr 22, 2023 23:24 UTC",372729000,3EXK8,232618,228149,,-,-,-,"Valencia, Spain","Apr 18, 19:11","Apr 21, 03:54",2d 8h,"Barcelona, Spain","Apr 15, 04:38","Apr 18, 01:11",2d 20h,"Gioia Tauro, Italy","Apr 11, 10:16","Apr 13, 10:49",2d,"Port Said East, Egypt","Apr 7, 16:04","Apr 8, 18:47",1d 2h,"As Suways (Suez) Anch., Egypt","Apr 6, 20:22","Apr 7, 04:54",8h 31m
MSC AMBRA,Container Ship,400,62,,2020,,Panama,9839480,,,,,,-,,,32.5°,17.6 kn,12.0 m,-,"Apr 20, 2023 13:50 UTC",352269000,3FKB,232618,228149,,-,-,-,"Singapore, Singapore","Apr 18, 16:43","Apr 20, 08:17",1d 15h,"Singapore, Singapore","Apr 16, 19:30","Apr 18, 16:27",1d 20h,"Jebel Ali, United Arab Emirates (UAE)","Mar 30, 06:13","Mar 31, 14:52",1d 8h,"Jebel Ali Anch., United Arab Emirates (UAE)","Mar 29, 19:14","Mar 30, 04:02",8h 48m,"Khalifa, United Arab Emirates (UAE)","Mar 28, 05:59","Mar 29, 16:46",1d 10h
MSC MIA,Container Ship,400,62,,2019,,Panama,9839466,,,,,,,,,118.7°,5.6 kn,15.3 m,Under way,"Apr 22, 2023 23:23 UTC",355798000,HP6643,232618,228149,,-,-,-,"Qingdao, China","Apr 18, 06:31","Apr 21, 07:31",3d,"Yantian, China","Apr 13, 23:55","Apr 14, 18:01",18h 6m,"Singapore, Singapore","Apr 5, 08:32","Apr 7, 03:57",1d 19h,"Jebel Ali, United Arab Emirates (UAE)","Mar 22, 10:01","Mar 23, 08:56",22h 54m,"Jebel Ali Anch., United Arab Emirates (UAE)","Mar 21, 04:58","Mar 22, 05:46",1d
MSC GULSUN,Container Ship,400,62,,2019,,Panama,9839430,,,,,,,,,205.3°,17.0 kn,13.4 m,Under way,"Apr 22, 2023 18:36 UTC",372003000,3FTV6,232618,228149,,-,-,-,"Hongqiao, China","Apr 21, 05:31","Apr 22, 07:16",1d 1h,"Ningbo, China","Apr 16, 21:48","Apr 18, 23:04",2d 1h,"Busan New Port, Korea","Apr 10, 19:32","Apr 12, 09:00",1d 13h,"Qingdao, China","Apr 5, 15:46","Apr 7, 23:50",2d 8h,"Yantian, China","Mar 28, 23:03","Mar 30, 05:51",1d 6h
MSC LENI,Container Ship,400,62,,2019,,Panama,9839454,,,,,,,,,311.5°,17.1 kn,14.5 m,Under way,"Apr 22, 2023 23:22 UTC",356432000,3FPV5,232618,228149,,-,-,-,"Port Said East, Egypt","Apr 21, 15:50","Apr 22, 21:14",1d 5h,"As Suways (Suez) Anch., Egypt","Apr 21, 00:53","Apr 21, 05:21",4h 28m,"Singapore, Singapore","Apr 8, 10:11","Apr 10, 08:35",1d 22h,"Yantian, China","Apr 3, 15:11","Apr 4, 13:08",21h 56m,"Nansha, China","Apr 1, 15:26","Apr 3, 02:11",1d 10h
HMM ST PETERSBURG,Container Ship,400,62,,2020,,Panama,9868364,,,,,,-,,,311.3°,17.8 kn,15.5 m,-,"Apr 19, 2023 14:19 UTC",351404000,HPXU,232311,229039,,-,-,-,"Yantian, China","Apr 13, 20:49","Apr 15, 02:52",1d 6h,"Hongqiao, China","Apr 9, 18:38","Apr 11, 07:42",1d 13h,"Ningbo, China","Apr 6, 04:23","Apr 7, 21:44",1d 17h,"Busan New Port, Korea","Apr 1, 12:36","Apr 2, 22:46",1d 10h,"Qingdao, China","Mar 27, 16:10","Mar 29, 23:00",2d 6h
HMM OSLO,Container Ship,400,62,,2020,,Panama,9868326,,,,,,,,,307.4°,16.9 kn,15.2 m,-,"Apr 15, 2023 21:38 UTC",371319000,3EQD3,232311,229039,,-,-,-,"Yantian, China","Apr 10, 07:39","Apr 11, 10:14",1d 2h,"Hongqiao, China","Apr 5, 17:22","Apr 7, 08:48",1d 15h,"Ningbo, China","Mar 30, 23:48","Apr 2, 04:22",2d 4h,"Busan New Port, Korea","Mar 26, 11:01","Mar 27, 23:38",1d 12h,"Busan New Port, Korea","Mar 26, 06:19","Mar 26, 09:55",3h 36m
HMM SOUTHAMPTON,Container Ship,400,62,,2020,,Panama,9868340,,,,,,,,,204.6°,12.4 kn,11.7 m,Under way,"Apr 22, 2023 23:25 UTC",357770000,3FSH6,232311,229039,,-,-,-,"Hamburg, Germany","Apr 17, 12:25","Apr 22, 06:45",4d 18h,"Rotterdam Maasvlakte, Netherlands","Apr 13, 01:39","Apr 16, 06:34",3d 4h,"Algeciras, Spain","Apr 8, 16:30","Apr 9, 04:48",12h 17m,"As Suways (Suez) Anch., Egypt","Mar 31, 18:17","Apr 1, 03:02",8h 44m,"Yantian, China","Mar 12, 22:54","Mar 13, 23:56",1d 1h
HMM ROTTERDAM,Container Ship,400,62,,2020,,Panama,9868338,,,,,,-,,,319.7°,0.0 kn,14.9 m,Moored,"Apr 22, 2023 22:54 UTC",351246000,3EQK6,232311,229039,,-,-,-,"Qingdao, China","Apr 22, 21:48",-,-,"Tianjin Xingang, China","Apr 19, 23:12","Apr 21, 08:16",1d 9h,"Singapore, Singapore","Apr 9, 16:22","Apr 10, 22:58",1d 6h,"Port Said Anch., Egypt","Mar 22, 16:40","Mar 23, 01:31",8h 50m,"Tanger Med, Morocco","Mar 14, 04:27","Mar 15, 01:49",21h 22m
HMM STOCKHOLM,Container Ship,400,62,,2020,,Panama,9868352,,,,,,,,,342.5°,5.6 kn,16.0 m,Under way,"Apr 22, 2023 23:25 UTC",351127000,3EHU5,232311,229039,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 16, 18:18","Apr 17, 03:49",9h 30m,"Yantian, China","Mar 30, 07:53","Mar 31, 08:00",1d,"Hongqiao, China","Mar 25, 23:30","Mar 27, 11:15",1d 11h,"Ningbo, China","Mar 23, 01:02","Mar 25, 00:33",1d 23h,"Ningbo Anch., China","Mar 22, 03:25","Mar 22, 21:52",18h 26m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSC AMELIA,Container Ship,400,61,-,2021,-,Liberia,9896995,,,,,,-,,,47.3°,16.3 kn,12.5 m,Under way,"Apr 22, 2023 23:25 UTC",636020543,D5ZR4,228786,228406,,-,-,-,"Yantian, China","Apr 21, 01:29","Apr 22, 01:14",23h 44m,"Singapore, Singapore","Apr 15, 06:57","Apr 16, 21:10",1d 14h,"Jebel Ali, United Arab Emirates (UAE)","Mar 27, 23:14","Mar 28, 18:38",19h 24m,"Jebel Ali Anch., United Arab Emirates (UAE)","Mar 26, 22:16","Mar 27, 19:55",21h 39m,"Khalifa, United Arab Emirates (UAE)","Mar 25, 16:07","Mar 26, 19:49",1d 3h
MSC APOLLINE,Container Ship,400,61,,2021,,Liberia,9896983,,,,,,-,,,53.4°,0.0 kn,14.5 m,Moored,"Apr 22, 2023 23:25 UTC",636020542,D5ZR3,228786,228406,,-,-,-,"Felixstowe, United Kingdom (UK)","Apr 20, 23:14",-,-,"Antwerpen, Belgium","Apr 13, 16:16","Apr 17, 21:35",4d 5h,"Rotterdam Maasvlakte, Netherlands","Apr 11, 20:17","Apr 12, 19:46",23h 28m,"Sines, Portugal","Apr 7, 11:27","Apr 8, 23:48",1d 12h,"Tanjung Pelepas, Malaysia","Mar 20, 04:37","Mar 21, 17:40",1d 13h
MSC MICHELLE,Container Ship,400,61,-,2021,-,Liberia,9897016,,,,,,-,,,194.1°,2.2 kn,15.0 m,Under way,"Apr 22, 2023 20:58 UTC",636020599,D5ZY4,228786,228406,,-,-,-,"Busan New Port, Korea","Apr 18, 01:49","Apr 19, 06:57",1d 5h,"Qingdao, China","Apr 13, 05:25","Apr 16, 05:25",2d 23h,"Yantian, China","Apr 8, 17:15","Apr 10, 05:44",1d 12h,"Singapore, Singapore","Apr 2, 17:06","Apr 5, 09:25",2d 16h,"Jebel Ali, United Arab Emirates (UAE)","Mar 19, 11:55","Mar 20, 16:29",1d 4h
MSC ALLEGRA,Container Ship,400,61,-,2021,-,Liberia,9897028,,,,,,-,,,184.4°,0.0 kn,14.3 m,Moored,"Apr 22, 2023 23:25 UTC",636020600,D5ZY5,228786,228406,,-,-,-,"Sines, Portugal","Apr 21, 10:36",-,-,"As Suways (Suez) Anch., Egypt","Apr 15, 20:11","Apr 16, 03:48",7h 37m,"Tanjung Pelepas, Malaysia","Apr 3, 11:56","Apr 4, 18:55",1d 6h,"Yantian, China","Mar 29, 05:17","Mar 30, 12:09",1d 6h,"Hongqiao, China","Mar 26, 02:33","Mar 27, 03:01",1d
MSC DILETTA,Container Ship,400,61,-,2021,-,Liberia,9897004,,,,,,,,,124.1°,14.0 kn,13.7 m,-,"Apr 21, 2023 03:08 UTC",636020598,D5ZY3,228786,228406,,-,-,-,"Jebel Ali, United Arab Emirates (UAE)","Apr 14, 05:08","Apr 16, 01:07",1d 19h,"Khalifa, United Arab Emirates (UAE)","Apr 12, 05:49","Apr 13, 23:34",1d 17h,"Kulayyah, Saudi Arabia","Apr 5, 18:41","Apr 7, 02:40",1d 7h,"Port Said East, Egypt","Apr 1, 08:58","Apr 3, 05:29",1d 20h,"Gioia Tauro, Italy","Mar 26, 23:45","Mar 28, 19:03",1d 19h
